고정순서,예약률,노출,숙소ID,배지,숙소명(KO),Property (EN),名稱 (繁體),Region (EN),地區 (繁體),Intro (EN),簡介 (繁體),태그,객실명 (EN),客房 (繁體),최대인원,전체대관,사진 URL,에어비앤비 링크,사진위치,소개(KO),평점,후기수
,,Y,conanbeach,,,,,,,,,,Premium Spa House (Beach 1+3),尊爵水療棟（Beach 1+3）,8,,,https://www.airbnb.co.kr/h/conan13,,,,
,,Y,conanbeach,,,,,,,,,,Family Spa House (Beach 1),家庭水療棟（Beach 1）,6,,,https://www.airbnb.co.kr/h/conan01,,,,
,,Y,conanbeach,,,,,,,,,,Ocean Jacuzzi Couple (Beach 2),海景按摩池雙人棟（Beach 2）,2,,,https://www.airbnb.co.kr/h/conan02,,,,
,,Y,conanbeach,,,,,,,,,,Stone House Couple (Beach 3),石屋雙人棟（Beach 3）,2,,,https://www.airbnb.co.kr/h/conan03,,,,
,100,Y,selene,,제주숙소 스테이셀레네,Stay Selene,Stay Selene 海景石屋,"Gujwa-eup, Jeju",濟州 舊左邑,"A traditional stone house rebuilt in pale wood and white — two private houses, each with a sea-facing jacuzzi and a projector for the evening.",傳統石屋以淺色木頭與白牆重生 —— 兩棟獨立房舍，各有一座望海按摩浴缸與夜晚的投影機。,"OCEAN,JACUZZI,CINEMA,STONE",Suite House A (open plan),A棟 開放式套房,4,,"https://res.cloudinary.com/lwbioe79/image/upload/f_auto,q_auto,w_1200/selene.jpg",https://www.airbnb.co.kr/h/stayselene-a,,"제주 돌담집을 원목과 화이트로 리모델링한 독채 2채. 바다 보이는 자쿠지, 빔프로젝터",4.89,36
,,Y,selene,,,,,,,,,,Loft House B (couples only),B棟 樓中樓雙人棟,2,,,https://www.airbnb.co.kr/h/stayselene-b,,,,
,99,Y,cavecinema,,협재케이브 시네마풀빌라,Cave Cinema,Cave Cinema 挾才泳池別墅,"Hallim-eup, Jeju",濟州 翰林邑,"A cave-dark villa where the evening film plays across the pool wall — year-round heated water, with the fire pit and barbecue included.",洞穴質感的黑調別墅，夜晚電影投影在泳池牆上 —— 全年溫水泳池、營火與烤肉皆免費。,"POOL,HEATED,CINEMA,DESIGN",Whole house,整棟包棟,3,Y,"https://res.cloudinary.com/lwbioe79/image/upload/f_auto,q_auto,w_1200/cavecinema.jpg",https://www.airbnb.co.kr/h/visitstay,,"동굴 컨셉 독채 풀빌라. 수영장 벽면 시네마, 사계절 온수풀·불멍·바베큐 무료",5,34
,78,Y,hadoondam,Free rental car|免費租車,하도온담,Hado Ondam,Hado Ondam 下道百年石屋,"Gujwa-eup, Jeju",濟州 舊左邑,"A century-old stone house rebuilt as separate houses — hot tubs indoors and out, a kitchen garden to pick from, and a rental car included midweek.",百年石屋重生為獨立房舍 —— 室內外皆有溫水按摩池、可自由採摘的菜園，平日入住還附免費租車。,"JACUZZI,GROUP,GARDEN,STONE",Ondam House (indoor hot tub),溫談棟（室內按摩池）,10,,"https://res.cloudinary.com/lwbioe79/image/upload/f_auto,q_auto,w_1200/hadoondam.jpg",https://www.airbnb.co.kr/h/hadodondam,,"100년 제주 돌집을 다시 지은 독채. 실내외 자쿠지, 텃밭 수확, 주중 렌터카 무료",4.85,13
,,Y,hadoondam,,,,,,,,,,Byeolbang House (outdoor hot tub),別防棟（室外按摩池）,10,,,https://www.airbnb.co.kr/h/hadoondam2,,,,
,55,Y,ojori,K-drama location|韓劇取景地,오조리 일출스테이,Ojori Sunrise Stay,Ojori Sunrise Stay 吾照日出民宿,"Seongsan-eup, Seogwipo",西歸浦 城山邑,Wake to Seongsan Sunrise Peak from the bed — in the fishing village where Welcome to Samdal-ri was filmed.,在床上迎接城山日出峰的日出 —— 這裡正是韓劇《歡迎回到三達里》的取景漁村。,"SUNRISE,OCEAN,GARDEN,FAMILY",Large Room 201,大客房 201,3,,"https://res.cloudinary.com/lwbioe79/image/upload/f_auto,q_auto,w_1200/ojori.jpg",https://www.airbnb.co.kr/h/ojory201,,침대에서 성산일출봉 일출을 보는 숙소. 웰컴투 삼달리 촬영지 오조리 마을,4.76,82
,,Y,ojori,,,,,,,,,,Large Room 203,大客房 203,3,,,https://www.airbnb.co.kr/h/ojory203,,,,
,,Y,ojori,,,,,,,,,,Premium Room 301,頂級客房 301,2,,,https://www.airbnb.co.kr/h/ojory301,,,,
,,Y,ojori,,,,,,,,,,Medium Room 101,中型客房 101,2,,,https://www.airbnb.co.kr/h/ojory101,,,,
,,Y,ojori,,,,,,,,,,Medium Room 204,中型客房 204,2,,,https://www.airbnb.co.kr/h/ojory204,,,,
,,Y,ojori,,,,,,,,,,Standard Room 103,標準客房 103,2,,,https://www.airbnb.co.kr/h/ojory103,,,,
,,Y,ojori,,,,,,,,,,Standard Room 102,標準客房 102,2,,,https://www.airbnb.co.kr/h/ojory102,,,,
,,Y,ojori,,,,,,,,,,Standard Room 202,標準客房 202,2,,,https://www.airbnb.co.kr/h/ojory202,,,,
